notes,has_complication,ssn,hospital
normal risk,False,205-81-0618,AK
normal risk,False,117-56-3271,AL
high risk,False,003-76-5073,AL
high risk,True,088-35-4342,AK
high risk,False,611-68-8201,AK
normal risk,False,714-65-3439,AR
normal risk,False,628-60-5659,AK
normal risk,False,287-85-0801,AK
high risk,True,770-53-7747,AL
normal risk,True,744-58-0659,AZ
normal risk,False,031-89-8646,AR
normal risk,False,804-22-6594,AZ
normal risk,False,139-85-6069,AK
normal risk,False,192-62-1862,AZ
high risk,False,376-90-2575,AL
high risk,False,104-08-0793,AK
high risk,False,131-15-5607,AL
high risk,False,549-68-6226,AZ
normal risk,False,614-09-7725,AZ
high risk,False,318-78-1002,AL
high risk,False,895-01-9672,AR
high risk,False,582-52-3291,AR
high risk,False,773-26-0132,AL
normal risk,True,399-60-7125,AL
high risk,False,224-06-3831,AR
high risk,False,645-40-5348,AZ
normal risk,False,192-85-9590,AL
high risk,True,193-31-1812,AL
high risk,True,248-09-7020,AK
high risk,False,806-15-8162,AK
high risk,False,851-81-6538,AZ
normal risk,False,159-81-5776,AL
high risk,False,206-14-9118,AL
high risk,True,432-44-6328,AR
normal risk,False,362-37-6472,AZ
normal risk,True,524-94-8433,AR
normal risk,True,347-79-7709,AL
high risk,True,393-69-8528,AR
high risk,False,681-76-1465,AR
high risk,True,213-73-0219,AK
normal risk,False,137-22-2244,AL
high risk,False,551-43-6725,AR
normal risk,False,828-42-5603,AZ
normal risk,True,211-95-2822,AL
high risk,False,562-53-7482,AZ
normal risk,False,859-12-1166,AZ
high risk,False,580-01-6901,AL
high risk,False,413-65-8562,AK
high risk,False,341-52-2442,AR
normal risk,True,411-46-2442,AZ
high risk,False,631-15-0851,AZ
normal risk,False,657-11-3509,AR
high risk,False,165-82-6397,AZ
normal risk,False,750-45-5242,AZ
high risk,True,443-83-7182,AZ
high risk,False,190-97-6608,AR
normal risk,False,561-16-9752,AL
high risk,False,780-21-3738,AL
high risk,False,295-65-6683,AK
high risk,False,705-59-8605,AR
normal risk,False,768-47-7151,AL
normal risk,False,391-46-9868,AL
high risk,True,307-04-8624,AZ
normal risk,False,150-62-6971,AZ
high risk,True,493-73-7516,AL
high risk,False,723-32-4475,AZ
high risk,False,878-56-6188,AK
normal risk,False,220-59-0451,AL
high risk,False,408-90-3567,AK
normal risk,False,116-03-1259,AZ
high risk,False,600-29-3633,AR
high risk,False,735-39-0004,AZ
high risk,False,631-67-4335,AL
normal risk,False,221-49-5120,AZ
high risk,True,255-06-9832,AR
normal risk,False,352-20-5027,AL
high risk,True,630-69-6861,AR
high risk,True,432-71-4601,AK
high risk,True,253-96-2428,AK
high risk,False,573-90-8333,AZ
normal risk,False,063-74-3910,AL
normal risk,False,486-78-0257,AR
high risk,True,244-34-9030,AL
normal risk,False,872-67-4138,AZ
normal risk,False,792-91-6540,AL
high risk,True,573-08-6701,AR
normal risk,False,871-08-1897,AK
high risk,False,452-47-8113,AK
normal risk,True,036-88-8357,AL
high risk,False,608-46-7016,AL
high risk,True,266-52-0256,AL
high risk,False,520-17-0971,AK
normal risk,True,564-77-4446,AR
high risk,False,704-12-8968,AZ
high risk,False,128-41-9291,AZ
high risk,False,470-03-5798,AL
high risk,True,252-64-4438,AZ
high risk,False,821-09-1754,AL
high risk,False,206-13-6342,AZ
high risk,False,719-04-5907,AK
normal risk,True,472-70-6708,AK
high risk,False,215-47-2734,AZ
high risk,False,755-81-3512,AZ
high risk,False,692-14-6355,AZ
normal risk,False,327-02-5032,AZ
high risk,True,622-82-9401,AR
normal risk,True,275-01-7879,AK
high risk,False,883-12-0031,AZ
high risk,True,500-25-5822,AZ
normal risk,True,657-91-3046,AZ
normal risk,False,081-17-1879,AL
normal risk,False,462-45-0087,AZ
high risk,False,347-53-4966,AL
high risk,True,851-05-1020,AK
high risk,False,414-69-3772,AL
high risk,False,212-88-3870,AZ
high risk,True,490-54-7272,AZ
normal risk,False,172-81-2022,AR
high risk,False,198-31-1876,AK
high risk,False,526-60-3762,AZ
high risk,False,446-51-4836,AR
normal risk,True,356-32-9698,AZ
high risk,False,346-73-8456,AK
high risk,False,341-08-1462,AL
high risk,False,559-66-7735,AK
high risk,True,658-42-4191,AL
high risk,True,065-40-1626,AK
high risk,True,569-01-6239,AK
high risk,True,262-07-3333,AK
normal risk,False,822-05-0693,AL
normal risk,True,856-42-9385,AL
high risk,True,298-45-1502,AZ
high risk,True,286-45-6459,AR
normal risk,False,025-47-1036,AZ
normal risk,False,198-69-9596,AK
high risk,False,316-69-7215,AR
high risk,True,731-56-0915,AR
high risk,True,809-87-4093,AL
high risk,False,192-89-7105,AZ
high risk,True,325-24-0791,AK
high risk,False,702-80-0996,AZ
high risk,False,851-29-7126,AK
normal risk,False,323-49-7228,AZ
high risk,False,470-90-7465,AR
normal risk,True,325-45-9570,AK
normal risk,False,759-46-1432,AR
high risk,False,175-04-3076,AZ
high risk,False,320-10-7825,AR
high risk,True,608-85-3002,AZ
normal risk,True,781-17-6325,AZ
normal risk,False,275-77-2421,AK
high risk,False,300-55-2653,AZ
high risk,False,859-30-5418,AK
normal risk,False,044-18-8565,AK
high risk,True,093-29-9448,AL
normal risk,False,731-57-9293,AR
normal risk,True,014-26-5880,AR
normal risk,False,671-60-5281,AR
high risk,False,147-68-9619,AL
high risk,False,456-22-2499,AL
high risk,False,020-73-6804,AZ
normal risk,True,444-86-7405,AR
high risk,False,423-56-1342,AZ
normal risk,False,710-04-7113,AK
high risk,False,850-77-3235,AK
normal risk,False,688-55-0020,AK
high risk,False,220-07-4481,AR
high risk,False,009-93-3686,AR
normal risk,True,285-64-6388,AL
high risk,False,142-11-1856,AR
normal risk,False,739-31-3339,AK
normal risk,False,893-42-2013,AL
normal risk,False,089-17-8570,AK
normal risk,True,187-83-9106,AR
normal risk,False,197-49-7192,AL
high risk,False,583-35-7645,AZ
normal risk,False,571-34-4525,AZ
high risk,False,620-56-4601,AR
high risk,False,865-60-1162,AZ
high risk,False,070-88-1029,AR
high risk,False,678-46-5329,AR
normal risk,True,333-70-8550,AK
high risk,False,080-46-0906,AK
high risk,False,303-37-8232,AK
normal risk,False,783-62-6735,AL
high risk,False,537-85-4306,AL
high risk,True,084-95-3224,AL
high risk,False,060-74-9205,AK
high risk,False,102-90-9011,AK
high risk,True,878-87-2112,AK
high risk,True,843-91-8692,AL
normal risk,False,558-43-8264,AL
high risk,False,417-28-7147,AR
normal risk,False,135-66-9406,AZ
normal risk,False,509-21-5971,AL
normal risk,False,540-19-5150,AZ
normal risk,True,441-69-2306,AZ
high risk,False,100-05-7530,AR
normal risk,False,830-87-6588,AZ
high risk,True,760-53-8928,AL
high risk,False,138-67-5071,AK
normal risk,True,858-64-0188,AR
normal risk,False,726-78-6301,AK
high risk,False,787-39-7208,AZ
high risk,True,775-89-8211,AL
normal risk,False,884-78-8134,AR
high risk,True,861-06-9553,AR
normal risk,True,766-69-5633,AR
high risk,False,460-17-6536,AK
normal risk,False,122-88-7384,AR
high risk,False,165-23-3699,AK
high risk,False,886-83-2539,AK
high risk,False,179-19-3882,AL
normal risk,False,445-18-4764,AR
high risk,False,881-02-2094,AL
high risk,False,253-17-9207,AL
normal risk,False,090-23-3086,AZ
normal risk,False,494-56-0188,AK
normal risk,False,716-61-2207,AR
normal risk,False,551-29-0661,AK
normal risk,False,318-97-0817,AZ
high risk,False,151-94-4784,AL
high risk,False,775-74-7349,AK
high risk,False,467-51-4147,AR
high risk,False,607-27-6583,AR
normal risk,True,283-37-5087,AZ
high risk,True,295-67-1103,AZ
high risk,True,227-01-2173,AR
normal risk,False,069-48-0288,AR
high risk,False,425-25-8042,AK
normal risk,True,789-66-0364,AL
normal risk,False,818-89-2295,AR
high risk,False,705-15-3619,AZ
high risk,False,299-04-2063,AR
high risk,False,573-78-2623,AL
normal risk,False,249-50-3272,AK
high risk,False,604-87-1577,AL
high risk,False,301-78-3641,AZ
normal risk,False,042-53-7392,AL
high risk,False,623-43-0561,AK
high risk,False,615-51-8730,AZ
normal risk,True,807-32-0099,AR
high risk,False,177-40-3322,AL
high risk,False,295-17-1600,AZ
normal risk,False,044-15-1476,AR
normal risk,True,804-28-3965,AR
high risk,True,736-35-3009,AZ
high risk,False,230-64-1551,AZ
high risk,False,031-57-5192,AL
high risk,False,407-43-5921,AK
normal risk,False,607-92-1498,AL
high risk,False,537-95-3324,AR
high risk,False,195-85-3202,AL
high risk,False,451-77-4223,AL
normal risk,False,394-71-9788,AK
normal risk,False,006-50-4673,AL
high risk,False,440-90-5664,AZ
high risk,False,036-86-0068,AZ
high risk,False,419-46-3006,AL
high risk,False,700-85-8628,AL
high risk,False,358-13-4731,AK
high risk,False,182-24-8171,AZ
high risk,False,228-70-0386,AL
high risk,True,185-16-2464,AK
high risk,False,168-54-8066,AR
normal risk,False,851-46-6987,AZ
high risk,True,397-87-8382,AL
high risk,False,037-72-3931,AK
high risk,False,807-72-7319,AR
high risk,False,001-78-6908,AZ
normal risk,False,194-69-0991,AL
high risk,False,428-96-3411,AZ
high risk,True,006-30-2520,AR
normal risk,False,677-25-8341,AR
high risk,True,488-82-2395,AK
high risk,False,510-86-4585,AZ
normal risk,False,647-06-5928,AR
high risk,True,392-70-9460,AK
high risk,False,052-04-4358,AL
normal risk,False,627-19-9052,AR
normal risk,False,306-40-6431,AL
high risk,False,231-02-1457,AL
high risk,False,606-51-1294,AZ
high risk,False,004-87-5016,AK
high risk,False,565-66-7006,AL
normal risk,False,488-72-9906,AK
normal risk,False,301-64-0802,AL
high risk,False,896-86-1574,AK
high risk,False,019-61-2539,AR
high risk,False,648-97-1114,AL
high risk,False,250-34-8762,AL
high risk,False,420-60-3427,AZ
normal risk,True,215-80-8935,AZ
normal risk,False,832-14-9956,AZ
high risk,True,371-81-9907,AZ
high risk,False,025-12-0474,AR
high risk,True,543-82-1479,AL
high risk,False,699-64-3423,AK
high risk,False,191-19-4386,AZ
normal risk,False,780-87-1134,AK
high risk,False,695-33-0058,AK
high risk,False,017-35-2496,AK
high risk,True,469-41-5728,AZ
high risk,True,717-95-4848,AK
normal risk,True,478-24-3617,AR
high risk,False,361-03-2130,AK
high risk,True,123-92-9137,AK
high risk,False,145-12-7606,AK
high risk,False,469-52-7763,AL
high risk,True,448-57-5306,AR
normal risk,True,669-59-5200,AL
high risk,False,832-77-0197,AR
high risk,False,739-86-1229,AK
high risk,False,131-10-3930,AK
high risk,False,170-22-5836,AK
normal risk,False,234-07-4779,AR
normal risk,False,819-61-5167,AR
normal risk,False,347-51-8467,AL
high risk,False,096-36-8011,AZ
normal risk,False,572-55-6823,AZ
high risk,False,064-18-8315,AZ
high risk,False,759-18-2669,AZ
high risk,False,720-14-0032,AZ
high risk,False,581-12-2382,AZ
high risk,True,019-95-5556,AZ
normal risk,True,473-01-0390,AZ
normal risk,False,024-11-8470,AK
high risk,True,171-97-6121,AR
high risk,False,198-63-0164,AR
normal risk,True,700-91-9720,AR
normal risk,True,444-85-3868,AR
normal risk,False,805-85-0870,AL
high risk,False,639-07-2303,AK
high risk,True,667-60-7475,AZ
normal risk,False,867-16-1528,AZ
normal risk,False,864-22-1542,AL
high risk,False,877-82-2973,AL
high risk,False,135-39-4141,AZ
high risk,False,016-27-3370,AK
high risk,True,486-39-2219,AR
high risk,False,825-96-2775,AZ
normal risk,True,781-71-6603,AL
high risk,False,371-38-8583,AL
high risk,True,518-17-9059,AK
normal risk,False,222-71-2373,AZ
normal risk,True,834-40-2582,AZ
high risk,True,086-57-7431,AZ
high risk,False,638-13-6326,AK
high risk,False,468-12-5009,AL
high risk,False,211-19-6020,AR
high risk,False,780-07-0848,AR
high risk,False,460-67-2997,AZ
high risk,False,443-45-7611,AR
normal risk,False,631-65-5083,AK
high risk,False,735-51-1908,AK
normal risk,False,723-04-8408,AK
high risk,False,249-38-4881,AK
high risk,False,340-25-5085,AL
high risk,False,586-91-9166,AR
high risk,True,817-80-0844,AK
high risk,False,690-16-2339,AR
high risk,False,804-51-4778,AR
high risk,False,610-29-8196,AL
normal risk,False,524-96-3124,AK
high risk,False,379-23-9305,AZ
high risk,True,894-02-4031,AZ
high risk,True,529-03-4928,AR
high risk,False,042-78-4802,AL
high risk,False,179-16-4972,AL
high risk,True,122-32-5309,AZ
normal risk,False,381-68-8828,AR
normal risk,False,078-23-4443,AR
high risk,False,604-36-4313,AZ
high risk,False,217-35-5283,AK
normal risk,False,018-78-9810,AK
high risk,False,003-53-5296,AZ
high risk,False,582-87-7776,AK
high risk,False,089-78-8414,AR
normal risk,True,133-82-8072,AK
high risk,True,606-70-0357,AR
normal risk,False,462-64-6386,AR
high risk,False,302-31-8129,AL
high risk,False,444-60-8377,AL
normal risk,False,101-63-5796,AL
normal risk,False,711-74-5412,AL
normal risk,False,894-14-2364,AR
high risk,False,450-46-6325,AL
high risk,False,746-81-4644,AR
normal risk,False,443-01-9147,AR
normal risk,True,723-50-6997,AZ
high risk,False,324-30-7397,AK
normal risk,False,045-43-6634,AR
high risk,False,398-30-4634,AR
high risk,False,393-81-7874,AK
high risk,False,652-60-7029,AR
normal risk,False,535-14-1269,AK
high risk,False,886-89-0304,AR
high risk,False,053-92-9928,AK
normal risk,False,433-49-7509,AR
high risk,False,772-51-0879,AL
high risk,False,392-07-3322,AL
normal risk,False,596-84-2659,AR
high risk,False,678-64-2011,AK
high risk,True,240-80-9535,AR
high risk,False,002-32-6964,AR
normal risk,True,574-46-2542,AL
high risk,True,080-31-0345,AK
normal risk,False,728-28-8978,AR
high risk,False,899-82-5736,AZ
normal risk,False,045-04-5277,AR
normal risk,True,816-80-9434,AL
high risk,False,270-35-3059,AL
normal risk,False,642-21-7400,AL
high risk,False,104-67-9466,AZ
normal risk,False,363-48-7617,AK
high risk,False,379-56-5361,AZ
high risk,True,277-40-6643,AZ
normal risk,True,446-46-9339,AR
high risk,False,754-25-0248,AK
high risk,False,072-73-6570,AL
high risk,False,270-37-9325,AZ
normal risk,False,642-56-1086,AZ
normal risk,False,631-38-4331,AL
high risk,False,570-93-9549,AZ
high risk,True,042-13-1279,AK
high risk,True,845-78-2725,AK
high risk,True,424-07-6445,AK
high risk,False,592-57-2821,AR
normal risk,False,874-38-6248,AR
high risk,False,080-17-1120,AK
high risk,False,605-26-2021,AR
high risk,False,434-81-0846,AZ
high risk,False,350-41-1994,AZ
normal risk,True,040-61-8509,AR
high risk,True,693-94-9389,AR
high risk,True,448-16-1648,AR
high risk,True,199-87-6656,AZ
high risk,False,254-36-6557,AK
normal risk,True,866-65-6590,AK
high risk,True,485-03-3861,AL
high risk,False,522-96-1882,AZ
high risk,False,629-89-9573,AR
normal risk,False,503-32-6607,AL
normal risk,True,671-47-0093,AL
high risk,False,588-16-4118,AZ
high risk,True,243-94-6270,AL
high risk,True,593-63-1222,AL
normal risk,True,386-26-8232,AR
high risk,True,017-32-0563,AR
normal risk,False,184-55-1809,AK
normal risk,True,503-01-6200,AK
normal risk,False,546-33-9696,AK
high risk,False,257-09-3161,AL
high risk,False,168-97-7753,AK
high risk,False,762-73-7306,AK
high risk,False,733-54-2701,AZ
normal risk,False,263-87-4698,AR
normal risk,False,429-84-5415,AK
high risk,False,340-27-8498,AR
high risk,False,594-99-8818,AR
high risk,True,040-77-6139,AK
high risk,True,181-17-8878,AZ
high risk,True,358-74-2631,AZ
high risk,False,782-06-7074,AR
high risk,True,240-31-2557,AK
high risk,False,512-38-8979,AR
high risk,False,699-81-1348,AL
high risk,False,779-61-0889,AL
high risk,False,854-84-3471,AZ
high risk,False,335-40-2675,AK
high risk,False,874-79-8788,AL
normal risk,True,105-23-5583,AL
high risk,False,892-76-2523,AK
high risk,False,312-07-7017,AZ
high risk,False,105-76-2797,AK
high risk,False,265-03-8023,AR
high risk,False,505-96-9677,AK
high risk,False,047-71-2817,AK
high risk,True,544-44-9971,AR
normal risk,False,704-36-3224,AK
high risk,False,469-65-9980,AR
high risk,False,137-92-2251,AR
high risk,False,463-83-9640,AR
high risk,False,063-08-3302,AK
normal risk,True,062-42-6851,AK
high risk,False,811-55-1918,AR
high risk,False,885-09-1957,AL
high risk,False,648-25-3370,AR
high risk,False,079-39-0068,AR
high risk,True,212-16-3398,AK
high risk,True,536-12-0303,AZ
high risk,False,799-44-3216,AR
normal risk,False,613-50-5838,AZ
high risk,False,606-79-2371,AR
normal risk,False,841-40-8828,AR
high risk,False,833-45-4233,AL
normal risk,False,309-08-8983,AR
high risk,False,560-79-6865,AL
normal risk,True,697-36-4354,AK
high risk,False,332-87-6828,AR
normal risk,True,827-75-6211,AL
normal risk,False,115-75-5260,AK
normal risk,False,021-38-9680,AR
normal risk,False,814-90-8206,AZ
high risk,False,469-89-4428,AZ
high risk,True,884-14-1524,AK
high risk,False,224-02-8031,AK
normal risk,False,786-05-9087,AZ
high risk,False,751-71-7107,AR
high risk,False,338-81-6779,AZ
normal risk,False,691-33-3990,AZ
normal risk,False,067-19-1271,AZ
high risk,True,192-20-9890,AZ
high risk,False,228-39-1585,AK
high risk,False,663-87-7929,AL
high risk,False,410-72-0874,AR
high risk,False,684-42-4551,AZ
high risk,True,316-41-3542,AR
high risk,False,275-16-0549,AL
high risk,False,800-87-7049,AR
high risk,True,043-72-5493,AL
high risk,False,506-27-2865,AR
high risk,False,736-07-5469,AK
high risk,False,009-77-1969,AZ
high risk,False,147-80-7879,AK
normal risk,False,842-29-2820,AR
high risk,False,226-32-4964,AL
high risk,True,168-52-7649,AK
high risk,True,647-32-2340,AL
high risk,True,747-69-9519,AK
high risk,False,171-02-8126,AK
high risk,False,133-73-3633,AL
high risk,True,750-71-8082,AK
high risk,False,045-48-3179,AL
normal risk,False,626-09-7498,AZ
high risk,False,048-13-9864,AL
normal risk,True,735-05-1181,AZ
high risk,False,781-34-2435,AZ
high risk,False,043-90-2889,AK
high risk,False,687-65-8944,AZ
normal risk,False,011-88-2428,AL
high risk,False,287-67-1461,AK
normal risk,False,768-76-9166,AL
high risk,True,238-72-7612,AR
high risk,False,475-79-6561,AR
high risk,False,557-89-6958,AZ
normal risk,False,536-11-1151,AK
high risk,False,578-48-0883,AL
high risk,False,782-69-1702,AZ
high risk,True,147-44-3342,AL
high risk,False,327-93-5805,AK
high risk,True,037-45-4672,AL
high risk,False,877-25-3524,AK
high risk,False,071-17-2753,AR
high risk,False,523-43-1609,AZ
high risk,False,534-07-9910,AK
high risk,True,648-08-4565,AZ
high risk,False,221-77-3925,AZ
high risk,False,493-51-7817,AL
normal risk,False,279-37-4141,AK
normal risk,False,051-89-1775,AL
high risk,False,614-70-8863,AK
high risk,False,461-98-6479,AR
high risk,False,649-38-3512,AR
high risk,False,252-01-6045,AZ
high risk,True,081-08-1147,AL
normal risk,True,519-34-4981,AR
normal risk,False,073-52-5425,AZ
high risk,True,680-56-9273,AK
normal risk,False,052-86-9465,AK
normal risk,False,435-53-3000,AK
high risk,False,594-31-4052,AK
high risk,True,126-30-8096,AZ
high risk,False,310-60-5174,AK
high risk,True,201-01-0011,AR
high risk,False,578-35-9408,AL
high risk,False,547-87-4308,AZ
high risk,True,589-73-0055,AK
high risk,False,328-02-0690,AZ
normal risk,True,789-79-9991,AL
normal risk,False,231-96-6146,AZ
normal risk,False,521-35-5823,AZ
high risk,False,811-09-4898,AK
high risk,False,602-48-3861,AZ
high risk,False,893-35-3616,AR
high risk,False,463-99-1133,AL
high risk,False,648-82-9910,AR
high risk,True,596-21-8378,AZ
high risk,False,272-41-9719,AL
high risk,False,043-48-8390,AL
high risk,True,533-16-3027,AK
high risk,False,695-73-7351,AR
normal risk,False,320-46-3738,AL
high risk,False,892-01-5810,AL
high risk,False,319-14-2304,AR
normal risk,True,469-23-1065,AL
high risk,False,732-86-9254,AZ
high risk,False,838-95-8225,AZ
high risk,True,581-32-1233,AL
high risk,False,520-47-8888,AK
high risk,False,820-05-1295,AK
high risk,False,647-06-0232,AR
high risk,True,422-35-7502,AZ
high risk,False,349-05-8228,AR
normal risk,True,537-01-8039,AK
high risk,False,026-76-0570,AL
high risk,False,051-89-8972,AZ
high risk,False,359-10-4306,AZ
normal risk,False,181-57-7170,AZ
normal risk,False,646-62-7090,AL
high risk,False,234-59-6301,AR
high risk,False,738-87-0282,AZ
high risk,False,859-97-5216,AL
high risk,False,073-38-0302,AK
high risk,False,624-64-2039,AZ
high risk,False,445-23-9170,AL
normal risk,True,285-54-5608,AK
normal risk,False,110-42-7049,AK
high risk,False,126-46-7286,AL
high risk,False,031-46-0156,AZ
high risk,False,558-36-9318,AK
high risk,False,340-68-7395,AZ
high risk,False,576-62-4390,AK
high risk,False,213-51-0734,AZ
high risk,False,106-10-9141,AZ
high risk,False,753-93-7469,AK
high risk,False,770-12-7470,AK
high risk,False,021-09-3872,AL
high risk,False,791-80-0582,AZ
high risk,True,255-89-5449,AL
high risk,False,611-94-6636,AZ
normal risk,False,648-63-2337,AZ
high risk,False,725-28-3110,AZ
high risk,True,057-54-0195,AK
high risk,False,687-52-9192,AZ
normal risk,False,265-89-1518,AR
high risk,False,671-13-3651,AR
normal risk,False,371-15-3737,AR
high risk,False,174-25-3018,AZ
high risk,True,764-63-6348,AZ
normal risk,False,829-97-3354,AR
high risk,False,535-30-5483,AL
high risk,False,732-54-8781,AL
high risk,False,284-85-7464,AK
high risk,False,404-76-6719,AR
high risk,True,811-95-2298,AZ
normal risk,False,838-27-0024,AK
normal risk,False,087-72-1521,AZ
normal risk,True,674-81-4740,AR
high risk,False,072-38-9988,AK
high risk,True,582-19-0057,AK
high risk,False,444-57-9755,AR
high risk,False,524-81-1810,AL
normal risk,False,120-85-3566,AK
high risk,False,500-27-0318,AZ
high risk,True,642-58-0751,AZ
high risk,False,532-16-6420,AK
normal risk,True,486-54-4389,AZ
high risk,False,189-51-5145,AZ
high risk,False,641-82-8338,AR
normal risk,False,493-22-1301,AK
normal risk,False,772-28-4883,AL
normal risk,False,102-66-7062,AK
high risk,False,828-15-2501,AL
high risk,False,221-99-5945,AK
normal risk,False,612-21-3663,AZ
normal risk,False,862-90-6546,AR
normal risk,False,089-88-6091,AZ
high risk,True,440-53-6425,AZ
high risk,False,577-92-2685,AL
normal risk,False,620-75-3191,AZ
normal risk,False,041-47-1734,AK
normal risk,True,048-64-3810,AK
normal risk,False,352-80-4123,AK
normal risk,False,495-86-6238,AK
normal risk,True,851-62-7232,AK
normal risk,False,441-58-6310,AR
high risk,False,035-82-2052,AK
high risk,False,068-25-9074,AL
normal risk,False,229-89-6522,AZ
high risk,False,467-97-5367,AL
high risk,False,266-08-0046,AR
high risk,False,488-99-3508,AK
high risk,False,060-20-0963,AZ
high risk,True,563-70-8962,AR
high risk,True,709-32-1645,AL
high risk,False,274-46-6753,AK
high risk,False,558-16-7472,AK
high risk,False,099-07-9158,AZ
high risk,False,214-67-7199,AR
high risk,False,268-39-0727,AL
high risk,False,554-33-7582,AK
high risk,False,291-98-7569,AZ
high risk,False,246-34-8971,AZ
high risk,False,142-58-0264,AL
high risk,False,465-84-0833,AL
normal risk,False,565-91-7048,AZ
high risk,True,495-46-0443,AK
high risk,False,190-81-6278,AR
normal risk,False,435-12-2805,AZ
high risk,False,061-10-2259,AZ
normal risk,False,021-46-2635,AL
high risk,False,685-69-6383,AL
high risk,False,479-68-1309,AK
high risk,False,575-14-2887,AL
normal risk,False,001-15-4127,AL
high risk,True,594-13-6476,AL
normal risk,False,623-48-6962,AZ
high risk,False,889-06-8831,AL
high risk,True,018-01-4836,AZ
high risk,False,123-07-2698,AZ
high risk,False,453-10-5740,AK
normal risk,False,447-80-8102,AR
high risk,True,043-12-7945,AL
normal risk,False,895-03-8679,AK
high risk,False,668-93-5089,AK
normal risk,False,839-95-8142,AK
high risk,True,279-09-5732,AK
high risk,True,201-86-5363,AZ
normal risk,False,523-65-6783,AZ
high risk,True,310-30-1340,AZ
high risk,False,399-72-6284,AR
high risk,False,224-39-1141,AR
high risk,False,772-79-7645,AL
normal risk,False,418-76-1961,AZ
high risk,False,329-06-7811,AZ
normal risk,False,757-12-3540,AZ
normal risk,False,296-97-8752,AK
high risk,False,524-62-8860,AL
high risk,True,884-26-8028,AL
normal risk,True,627-83-6225,AZ
high risk,False,888-55-2027,AK
high risk,False,843-68-1212,AR
high risk,False,120-27-8040,AR
high risk,False,415-59-9580,AK
normal risk,False,746-69-9497,AK
high risk,False,878-42-4596,AL
high risk,False,653-40-4978,AZ
high risk,False,308-04-5178,AL
normal risk,False,017-09-4395,AZ
high risk,True,165-37-3953,AK
high risk,False,271-06-8026,AZ
normal risk,False,760-36-4053,AZ
high risk,False,269-57-2879,AZ
normal risk,False,641-95-8415,AL
high risk,False,884-30-3479,AL
high risk,False,511-18-3250,AR
normal risk,False,460-41-7029,AZ
normal risk,False,306-20-9473,AL
high risk,True,031-85-5090,AR
normal risk,False,372-19-4660,AK
high risk,False,642-07-2521,AR
normal risk,False,168-74-3430,AR
high risk,True,615-35-9160,AL
high risk,True,230-03-2436,AK
high risk,False,078-72-8047,AZ
high risk,False,794-20-9346,AZ
high risk,False,262-70-0679,AK
normal risk,True,489-49-6818,AK
high risk,False,298-51-0825,AZ
normal risk,False,352-14-1530,AR
high risk,False,722-26-1531,AR
normal risk,False,849-04-4875,AR
normal risk,False,869-79-1478,AR
high risk,False,112-27-6354,AK
high risk,True,453-13-9264,AR
normal risk,False,893-56-6109,AR
normal risk,False,709-99-4680,AL
high risk,True,512-97-8268,AL
high risk,False,729-54-7512,AZ
high risk,True,862-58-8109,AR
high risk,False,162-05-4587,AL
high risk,False,676-92-3764,AZ
high risk,False,653-81-4513,AZ
high risk,False,364-76-3604,AL
high risk,False,518-34-3504,AL
high risk,True,235-50-7455,AL
normal risk,False,241-93-9421,AR
high risk,True,818-47-8802,AK
high risk,False,459-63-3913,AK
normal risk,False,848-56-8281,AK
high risk,True,121-30-9678,AZ
high risk,True,486-98-7413,AL
normal risk,False,598-83-1471,AK
high risk,False,774-99-2056,AL
high risk,False,884-80-7244,AR
high risk,False,320-84-9258,AZ
high risk,False,460-73-6909,AZ
high risk,False,597-51-1213,AK
high risk,False,750-27-1819,AR
normal risk,True,247-16-8308,AZ
normal risk,False,823-18-7514,AZ
high risk,False,196-55-3762,AL
high risk,False,191-32-1782,AZ
normal risk,False,669-18-0639,AL
high risk,True,454-07-6123,AZ
high risk,True,569-60-7980,AR
high risk,True,681-75-5920,AZ
high risk,False,029-89-5859,AR
high risk,False,064-16-0717,AK
high risk,True,195-44-8617,AL
high risk,True,803-78-4570,AR
high risk,False,372-40-5109,AZ
high risk,True,132-10-9421,AR
high risk,True,162-53-7744,AL
normal risk,False,627-24-0817,AR
high risk,False,834-29-7392,AL
high risk,False,272-14-1678,AL
normal risk,False,877-18-0416,AL
normal risk,True,824-67-5825,AR
high risk,False,154-36-8007,AZ
high risk,False,428-48-5527,AR
normal risk,False,031-31-4484,AL
high risk,False,138-42-0566,AR
high risk,True,444-01-8072,AR
high risk,False,587-86-0399,AL
high risk,True,032-49-8374,AK
high risk,False,658-14-8318,AR
high risk,False,504-33-0825,AK
high risk,True,677-73-4822,AK
high risk,True,672-35-6695,AK
normal risk,True,266-23-5574,AK
normal risk,False,207-13-2835,AK
high risk,False,756-48-7757,AR
high risk,True,898-41-0511,AR
high risk,False,481-72-0480,AZ
high risk,False,682-29-9689,AK
high risk,False,598-89-8652,AK
high risk,False,804-47-6234,AL
high risk,False,142-51-5741,AK
high risk,True,425-08-0455,AL
high risk,False,228-78-9894,AL
high risk,True,255-71-0992,AK
high risk,False,752-80-4751,AL
normal risk,False,088-97-5772,AZ
high risk,False,701-75-3653,AL
normal risk,False,714-70-4286,AL
high risk,True,428-83-5405,AZ
high risk,False,205-65-5425,AL
normal risk,True,066-60-1071,AZ
high risk,True,687-08-5246,AK
high risk,True,525-93-3880,AK
high risk,False,427-84-6562,AL
